lastPrice,expiration,strike,contractSize,percentChange,openInterest,change,currency,inTheMoney,impliedVolatility,contractSymbol,lastTradeDate,volume,bid,ask
60.6,1529020800,60.0,"REGULAR",0.0,1,0.0,"USD",True,3.219484373168945,"NXPI180615C00060000",1516424329,1,58.5,62.8
37.15,1529020800,65.0,"REGULAR",0.0,10,0.0,"USD",True,1.0000000000000003e-05,"NXPI180615C00065000",1524588170,10,39.7,41.1
28.6,1529020800,70.0,"REGULAR",0.0,13,0.0,"USD",True,1.0000000000000003e-05,"NXPI180615C00070000",1525803572,14,28.4,29.9
33.69,1529020800,75.0,"REGULAR",0.0,232,0.0,"USD",True,0.8242205078124999,"NXPI180615C00075000",1526572852,1,35.0,37.7
29.8,1529020800,80.0,"REGULAR",0.0,70,0.0,"USD",True,0.79687703125,"NXPI180615C00080000",1526568884,4,30.1,33.1
24.29,1529020800,85.0,"REGULAR",0.0,64,0.0,"USD",True,0.7607445800781252,"NXPI180615C00085000",1526572852,1,25.1,28.8
24.0,1529020800,90.0,"REGULAR",31.00437,559,5.6800003,"USD",True,0.6884796777343751,"NXPI180615C00090000",1526657687,1,20.6,23.9
18.14,1529020800,95.0,"REGULAR",7.9761915,2722,1.3400002,"USD",True,0.6757844921875001,"NXPI180615C00095000",1526667785,2,16.1,20.1
15.0,1529020800,100.0,"REGULAR",29.310339,3587,3.3999996,"USD",True,0.6862824340820313,"NXPI180615C00100000",1526666405,97,12.8,16.3
11.0,1529020800,105.0,"REGULAR",37.5,2072,3.0,"USD",True,0.5874064697265625,"NXPI180615C00105000",1526673506,132,9.1,11.5
8.05,1529020800,110.0,"REGULAR",33.27815,13200,2.0100002,"USD",True,0.6035195898437502,"NXPI180615C00110000",1526673503,607,7.3,8.2
5.0,1529020800,115.0,"REGULAR",35.13513,8103,1.3,"USD",False,0.5555464367675782,"NXPI180615C00115000",1526673422,1916,4.7,5.3
2.75,1529020800,120.0,"REGULAR",38.888885,17957,0.77,"USD",False,0.5031787963867188,"NXPI180615C00120000",1526673517,1514,2.7,2.9
1.0,1529020800,125.0,"REGULAR",53.846157,13167,0.35000002,"USD",False,0.44727115234375,"NXPI180615C00125000",1526673473,426,0.8,1.25
0.25,1529020800,130.0,"REGULAR",66.666664,2246,0.099999994,"USD",False,0.38184211914062494,"NXPI180615C00130000",1526673570,406,0.25,0.35
0.05,1529020800,135.0,"REGULAR",0.0,267,0.0,"USD",False,0.358404853515625,"NXPI180615C00135000",1526653458,40,0.05,0.1
0.05,1529020800,140.0,"REGULAR",-73.68421,16,-0.14,"USD",False,0.37500625,"NXPI180615C00140000",1526661341,4,0.0,0.05
0.05,1529020800,145.0,"REGULAR",0.0,7,0.0,"USD",False,0.5566450585937501,"NXPI180615C00145000",1525267980,6,0.0,0.3
0.05,1529020800,150.0,"REGULAR",0.0,34,0.0,"USD",False,0.5302781347656251,"NXPI180615C00150000",1525267981,16,0.0,0.25
0.05,1529020800,155.0,"REGULAR",0.0,21,0.0,"USD",False,0.57812921875,"NXPI180615C00155000",1525492639,6,0.0,0.25
