currency,openInterest,strike,bid,volume,impliedVolatility,change,inTheMoney,contractSize,ask,percentChange,lastPrice,expiration,contractSymbol,lastTradeDate,targetPrice,profit,returnMultiple
USD,17813,120.0,2.5,600,0.4635063415527344,0.54999995,False,REGULAR,3.5,19.999998,3.3,1529020800,NXPI180615C00120000,1526932042,127.5,4.0,1.1428571428571428
USD,13208,125.0,0.95,452,0.36524072265625,0.100000024,False,REGULAR,1.2,10.000002,1.1,1529020800,NXPI180615C00125000,1526931907,127.5,1.3,1.0833333333333335
USD,8115,115.0,5.7,871,0.5052539709472657,1.3000002,False,REGULAR,6.3,26.000006,6.3,1529020800,NXPI180615C00115000,1526932796,127.5,6.2,0.9841269841269842
USD,13,70.0,28.4,14,1.0000000000000003e-05,0.0,True,REGULAR,29.9,0.0,28.6,1529020800,NXPI180615C00070000,1525803572,127.5,27.6,0.9230769230769231
USD,13229,110.0,8.2,755,0.5275926147460939,1.4499998,True,REGULAR,9.6,18.012419,9.5,1529020800,NXPI180615C00110000,1526932795,127.5,7.9,0.8229166666666667
USD,2069,105.0,12.2,70,0.6236609899902343,1.8500004,True,REGULAR,14.0,16.818186,12.85,1529020800,NXPI180615C00105000,1526931546,127.5,8.5,0.6071428571428571
USD,3543,100.0,15.8,64,0.603763728027344,1.5,True,REGULAR,17.3,10.0,16.5,1529020800,NXPI180615C00100000,1526930587,127.5,10.2,0.5895953757225433
USD,10,65.0,39.7,10,1.0000000000000003e-05,0.0,True,REGULAR,41.1,0.0,37.15,1529020800,NXPI180615C00065000,1524588170,127.5,21.4,0.5206812652068126
USD,64,85.0,25.1,1,1.0000000000000003e-05,0.0,True,REGULAR,28.8,0.0,24.29,1529020800,NXPI180615C00085000,1526572852,127.5,13.7,0.4756944444444444
USD,2721,95.0,19.0,69,0.6022988989257814,3.0600014,True,REGULAR,22.3,16.868805,21.2,1529020800,NXPI180615C00095000,1526932768,127.5,10.2,0.4573991031390134
USD,70,80.0,30.1,4,1.0000000000000003e-05,0.0,True,REGULAR,33.1,0.0,29.8,1529020800,NXPI180615C00080000,1526568884,127.5,14.399999999999999,0.43504531722054374
USD,232,75.0,35.0,1,1.0000000000000003e-05,0.0,True,REGULAR,37.7,0.0,33.69,1529020800,NXPI180615C00075000,1526572852,127.5,14.799999999999997,0.3925729442970821
USD,559,90.0,23.3,8,0.649417568359375,0.6000004,True,REGULAR,27.3,2.5000014,24.6,1529020800,NXPI180615C00090000,1526924020,127.5,10.2,0.3736263736263736
USD,1,60.0,58.5,1,2.738772684326172,0.0,True,REGULAR,62.8,0.0,60.6,1529020800,NXPI180615C00060000,1516424329,127.5,4.700000000000003,0.07484076433121024
USD,2363,130.0,0.1,158,0.301764794921875,-0.08,False,REGULAR,0.25,-32.0,0.17,1529020800,NXPI180615C00130000,1526931907,127.5,-2.75,-11.0
USD,7,145.0,0.0,6,0.5097705273437501,0.0,False,REGULAR,0.3,0.0,0.05,1529020800,NXPI180615C00145000,1525267980,127.5,-17.8,-59.333333333333336
USD,277,135.0,0.05,34,0.313483427734375,0.05,False,REGULAR,0.1,100.0,0.1,1529020800,NXPI180615C00135000,1526930623,127.5,-7.6,-75.99999999999999
USD,34,150.0,0.0,16,0.5488326367187502,0.0,False,REGULAR,0.25,0.0,0.05,1529020800,NXPI180615C00150000,1525267981,127.5,-22.75,-91.0
USD,21,155.0,0.0,6,0.5390671093750001,0.0,False,REGULAR,0.25,0.0,0.05,1529020800,NXPI180615C00155000,1525492639,127.5,-27.75,-111.0
USD,16,140.0,0.0,4,0.33399103515625,-0.14,False,REGULAR,0.05,-73.68421,0.05,1529020800,NXPI180615C00140000,1526661341,127.5,-12.55,-251.0
